seed,component,method,metric,value
47,detector,three_state,decisive_coverage_ecc,0.7116666666666667
47,detector,three_state,decisive_accuracy_ecc,0.9508196721311475
47,detector,three_state,manual_review_rate_all_archives,0.24714285714285714
47,detector,three_state,unknown_direct_known_rate,0.09
47,detector,G_all,known_acceptance_rate,0.9825
47,detector,G_all,known_rejection_rate,0.0175
47,detector,G_all,HEDGES_unknown_recall,1.0
47,detector,G_all,DNA_Aeon_unknown_recall,0.82
47,detector,G_all,combined_unknown_recall,0.91
47,detector,G_all,unknown_forced_known_rate,0.09
47,detector,G_all,unknown_misclassified_as_BCH_rate,0.08
47,detector,G_all,known_type_macro_f1,0.8363117178114272
47,detector,G_all,known_type_macro_f1_change_from_closed,-0.010450719444899725
47,detector,G_all,AUROC,0.9887375
47,detector,G_all,AUPR,0.9824268002305524
47,detector,G_all,FPR_at_95_TPR,0.095
48,closed_set,closed_set,archive_macro_f1,0.835460668049555
48,presence,presence,known_acceptance_rate,1.0
48,detector,energy_only,known_acceptance_rate,0.9875
48,detector,energy_only,known_rejection_rate,0.0125
48,detector,energy_only,HEDGES_unknown_recall,0.09
48,detector,energy_only,DNA_Aeon_unknown_recall,0.08
48,detector,energy_only,combined_unknown_recall,0.085
48,detector,energy_only,unknown_forced_known_rate,0.915
48,detector,energy_only,unknown_misclassified_as_BCH_rate,0.9
48,detector,energy_only,known_type_macro_f1,0.8296779143327998
48,detector,energy_only,known_type_macro_f1_change_from_closed,-0.005782753716755185
48,detector,energy_only,AUROC,0.9032375
48,detector,energy_only,AUPR,0.7447262678285463
48,detector,energy_only,FPR_at_95_TPR,0.2525
48,detector,proxy_only,known_acceptance_rate,0.98
48,detector,proxy_only,known_rejection_rate,0.02
48,detector,proxy_only,HEDGES_unknown_recall,1.0
48,detector,proxy_only,DNA_Aeon_unknown_recall,0.84
48,detector,proxy_only,combined_unknown_recall,0.92
48,detector,proxy_only,unknown_forced_known_rate,0.08
48,detector,proxy_only,unknown_misclassified_as_BCH_rate,0.07
48,detector,proxy_only,known_type_macro_f1,0.8254077040634012
48,detector,proxy_only,known_type_macro_f1_change_from_closed,-0.01005296398615374
48,detector,proxy_only,AUROC,0.9903625
48,detector,proxy_only,AUPR,0.9833520022673872
48,detector,proxy_only,FPR_at_95_TPR,0.035
48,detector,three_state,known_acceptance_rate,0.975
