ablation,blocks,dimension,threshold,known_acceptance_rate,known_no_ecc_rate,known_proxy_rejection_rate,closed_macro_f1,known_type_macro_f1,known_type_macro_f1_change_from_closed,no_ecc_specificity,HEDGES_unknown_recall,DNA_Aeon_unknown_recall,combined_unknown_recall,unknown_direct_known_rate,unknown_misclassified_as_BCH_rate,AUROC,AUPR,FPR_at_95_TPR,pca,ridge,lofo_min_known,lofo_min_proxy,lofo_mean_proxy
A_sequence,sequence,165,0.9366059535101914,0.935,0.0,0.065,0.6894768913064252,0.6771193588886663,-0.012357532417758943,1.0,1.0,1.0,1.0,0.0,0.0,0.9993611111111111,0.9987456398190623,0.0016666666666666668,48,0.01,0.95,0.3,0.4000000000000001
B_embedding,embedding,256,0.900175364505311,0.9466666666666667,0.0,0.05333333333333334,0.6894768913064252,0.6828571919492957,-0.0066196993571294716,1.0,0.9933333333333333,0.9333333333333333,0.9633333333333334,0.03666666666666667,0.03333333333333333,0.9940444444444444,0.9900063887969496,0.03,16,0.01,0.975,0.3,0.3333333333333333
C_logits,logits,43,0.8531604954475874,0.9266666666666666,0.0,0.07333333333333333,0.6894768913064252,0.6780719289316353,-0.01140496237478994,1.0,0.4,0.5666666666666667,0.48333333333333334,0.5166666666666667,0.5,0.9036388888888889,0.7753899783628863,0.24333333333333335,16,0.01,0.9,0.4,0.5666666666666665
D_sequence_embedding,sequence+embedding,421,0.9745539336696801,0.9783333333333334,0.0,0.021666666666666667,0.6894768913064252,0.6878387226737641,-0.0016381686326610856,1.0,0.9666666666666667,0.98,0.9733333333333334,0.02666666666666667,0.02666666666666667,0.9982722222222222,0.9965340532801386,0.008333333333333333,48,0.01,1.0,0.2,0.26666666666666666
E_sequence_logits,sequence+logits,208,0.9648471546687972,0.9633333333333334,0.0,0.03666666666666667,0.6894768913064252,0.6781033648119829,-0.011373526494442343,1.0,0.96,0.9866666666666667,0.9733333333333334,0.02666666666666667,0.02666666666666667,0.9970777777777777,0.9944031945325802,0.016666666666666666,48,0.01,0.975,0.2,0.3333333333333333
F_embedding_logits,embedding+logits,299,0.9452460969783757,0.98,0.0,0.02,0.6894768913064252,0.687300379452494,-0.0021765118539311956,1.0,0.9933333333333333,0.9066666666666666,0.95,0.05,0.03666666666666667,0.9942444444444445,0.9905771899270367,0.02,16,0.01,0.975,0.1,0.16666666666666666
G_all,sequence+embedding+logits,464,0.8268975481068935,0.9733333333333334,0.0,0.02666666666666667,0.6894768913064252,0.6718016776312116,-0.01767521367521363,1.0,0.9933333333333333,0.8066666666666666,0.9,0.1,0.08333333333333333,0.9907944444444444,0.9843966597456334,0.058333333333333334,16,1.0,,,
